Birth Gender Fraction Variation,0.38625
Normal Fertility Variation,10.7572
Life Expectancy Normal Variation,28.114
Primary Education Percentage m Variation,-0.0085
Primary Education Percentage f Variation,-0.0085
Secondary Education Percentage m Variation,0.01
Secondary Education Percentage f Variation,0.00498235
PersistenceSec Fraction Variation,0.591012
Tertiary Education Percentage m Variation,0.007
Tertiary Education Percentage f Variation,0.005
PersistenceTer Fraction Variation,0.817332
Capital Elasticity Output Variation,0.553084
Labor Force Participation Fraction Variation,0.920655
Effect of GDP on Urban Land Requirement l Variation,1.875
Effect of GDP on Urban Land Requirement x0 Variation,2.5
Max Energy Demand per Capita Variation,0.0000032
Price Elasticity of Demand Oil Variation,0.54
Price Elasticity of Demand Gas Variation,0.648
Price Elasticity of Demand Coal Variation,1.1125
Price Elasticity of Demand Wind and Solar Variation,1
Price Elasticity of Demand Biomass Variation,0.84
Reference Change in Fossil Fuel Market Share Variation,1.3
Reference Change in Market Share Solar Variation,8.4
Reference Change in Market Share Wind Variation,5.7
Reference Change in Market Share Biomass Variation,3.4125
Relative Productivity of Investment in Fossil Fuel Production Compared to Exploration Variation,10
Relative Productivity of Investment in Oil Exploration Variation,0.8
Relative Productivity of Investment in Gas Exploration Variation,1.875
Relative Productivity of Investment in Coal Exploration Variation,0.225
Effectiveness of Investment in Oil Recovery Technology Variation,2.24E-11
Effectiveness of Investment in Gas Recovery Technology Variation,4.05E-11
Effectiveness of Investment in Coal Recovery Technology Variation,1.95E-12
Solar Conversion Efficiency Factor Final Change Rate Variation,2
Fraction for Wind and Solar Learning Curve Strength Variation,0.2
Renewable Cost Reduction and Technology Improvement Ramp Period Variation,50
Fraction of Oil Revenues Invested in Technology Variation,0.032
Fraction of Gas Revenues Invested in Technology Variation,0.048
Fraction of Coal Revenues Invested in Technology Variation,0.525
Investment in Fossil Fuel Exploration and Production Delay Variation,2.5
Undiscovered Coal Resources Variation,1350000
Annual Change in Oil Reserves Variation,16800000000
Annual Growth in Gas Reserves Variation,6750
Reference Cost of Solar Energy Production Final Change Rate Variation,10
Reference Cost of Biomass Energy Production Final Change Rate Variation,27000000
Desired Total C Emission from Fossil Fuels Variation,10125000000
CCS Scenario Variation,1
Fraction of Agricultural Land Conversion from Forest Variation,0.9025
Forest to Agriculture Land Allocation Time Variation,5.5
Reference meat yield Variation,0.0875
Reference Input Neutral TC in Agriculture Variation,0.345
Feed Share of Grains Variation,0.8
Waste Fraction PasMeat CropMeat Variation,0.95
Waste Fraction EggsDairy Variation,0.95
Waste Fraction PlantFood Variation,0.95
Reference Daily Caloric Intake Variation,2500
Normal Shift Fraction from Vegetarianism to Meat Variation,0.0125
Normal Shift Fraction from Meat to Vegetarianism Variation,0.00225
Normal Fraction Intended to Change Diet Variation,0.042
Self Efficacy Multiplier Female Variation,1.08
Diet Composition Variation,2
